planogram_id;sku;description;module;ledge;h_facings;v_facings;x_start;y_start;capacity;merch_style;package_width;package_height;package_depth;from_date;to_date
510;10100;COCA COLA PET 1,5LT;1;1;6;4;9.5;13.0;72;CASE;19.0;33.0;28.0;2021-03-03;2022-01-26
510;10101;COCA COLA ZERO CL15X6 MINI CAN;1;2;2;2;0.0;155.0;20;UNIT;15.8;9.0;10.5;2021-03-03;2022-01-26
510;10102;COCA COLA CL15X6 MINI CAN£;1;2;5;2;31.869767;155.0;60;UNIT;15.6;9.0;10.0;2021-03-03;2022-01-26
510;10103;COCA COLA MINICAM SENZA CAF. CL15X 6;1;2;2;2;110.544186;155.0;20;UNIT;16.0;8.8;10.7;2021-03-03;2022-01-26
510;10104;COCA COLA ZERO SLEEK LAT.CL33X4;1;3;5;1;0.0;180.0;25;UNIT;11.6;14.6;11.6;2021-03-03;2022-01-26
510;10105;COCA COLA LIGHT SLEEK LAT.CL33X4;1;3;2;1;58.075269;180.0;10;UNIT;11.6;14.6;11.6;2021-03-03;2022-01-26
510;10106;COCA COLA PET LT1,35X2 BPK£;2;1;5;1;133.0;13.0;40;UNIT;18.6;30.4;9.3;2021-03-03;2022-01-26
510;10107;COCA COLA LT.2;2;1;3;1;226.0;13.0;24;UNIT;11.0;34.0;10.0;2021-03-03;2022-01-26
510;10108;COCA COLA LIGHT PET LT1,5;2;2;3;1;133.0;52.5;18;UNIT;9.4;32.0;9.4;2021-03-03;2022-01-26
510;10109;COCA COLA S/CAFFEINA PET LT1,5;2;2;4;1;161.382143;52.5;24;UNIT;9.4;32.0;9.4;2021-03-03;2022-01-26
510;10110;COCA COLA ZERO PET LT1,5£;2;2;7;1;199.225;52.5;42;UNIT;9.5;32.0;9.5;2021-03-03;2022-01-26
510;10111;COCA COLA ZERO VAP LT1;2;3;4;1;133.0;90.5;24;UNIT;8.9;30.4;8.9;2021-03-03;2022-01-26
510;10112;COCA COLA VETRO VAP LT1;2;3;6;1;168.883871;90.5;36;UNIT;8.7;30.5;8.7;2021-03-03;2022-01-26
510;10113;COCA COLA ZERO CL66;2;4;9;1;133.0;125.0;72;UNIT;7.3;24.4;7.3;2021-03-03;2022-01-26
510;10114;COCA COLA PET CL66;2;4;18;1;199.933333;125.0;144;UNIT;7.1;24.4;7.1;2021-03-03;2022-01-26
510;10115;COCA COLA ZERO VAP CL35X3;2;5;2;1;142.813953;155.0;18;UNIT;19.2;21.0;6.4;2021-03-03;2022-01-26
510;10116;COCA COLA VAP CL35X3;2;5;3;1;181.483721;155.0;27;UNIT;19.2;21.0;6.4;2021-03-03;2022-01-26
510;10117;COCA COLA SLEEK LAT.CL33X4£;2;6;10;1;81.305376;180.0;50;UNIT;11.6;14.6;11.6;2021-03-03;2022-01-26
510;10118;COCA COLA S/CAFFEINA SLEEK LAT.CL33X4;2;6;6;1;197.455914;180.0;30;UNIT;11.6;14.6;11.6;2021-03-03;2022-01-26
510;10119;PEPSI REGULAR 1,5L.PET;3;1;10;1;259.0;13.0;90;UNIT;8.8;33.8;8.8;2021-03-03;2022-01-26
510;10120;PEPSI COLA PET LT2;3;1;5;1;347.0;13.0;35;UNIT;10.4;34.5;10.4;2021-03-03;2022-01-26
510;10121;BEN COLA S.BENEDETTO PET LT1,5£;3;2;3;1;266.15;52.5;18;UNIT;8.8;33.8;8.8;2021-03-03;2022-01-26
510;10122;PEPSI MAX S/CAFFEINA PET LT.1,5;3;2;3;1;292.732143;52.5;18;UNIT;8.9;33.0;8.9;2021-03-03;2022-01-26
510;10123;PEPSI MAX PET LT1,5;3;2;3;1;319.614286;52.5;18;UNIT;8.9;33.0;8.9;2021-03-03;2022-01-26
510;10124;PEPSI TWIST LT.1,5£;3;2;4;1;346.496429;52.5;24;UNIT;8.8;33.8;8.8;2021-03-03;2022-01-26
510;10125;CHINO' S/PELLEGRINO PET CL125;3;2;2;1;381.939286;52.5;14;UNIT;8.5;32.5;8.5;2021-03-03;2022-01-26
510;10126;COCA COLA LT1 PET£;3;3;15;1;221.509677;90.5;105;UNIT;8.0;28.5;8.0;2021-03-03;2022-01-26
510;10127;COCA COLA LEMON ZERO 1L.PET;3;3;5;1;342.574194;90.5;35;UNIT;8.0;28.5;8.0;2021-03-03;2022-01-26
510;10128;CHINOTTO NERI PET LT1;3;3;2;1;382.929032;90.5;14;UNIT;8.0;30.8;8.0;2021-03-03;2022-01-26
510;10129;PEPSI COLA REG.PET CL50;3;4;6;1;327.166667;125.0;54;UNIT;6.5;23.5;6.5;2021-03-03;2022-01-26
510;10130;CHINOTTO ZERO S.BENEDETTO 75CL;3;4;2;1;366.988889;125.0;14;UNIT;8.0;25.7;8.0;2021-03-03;2022-01-26
510;10131;CHINO' ZERO PET CL 75 SAN PELLEGRINO;3;4;2;1;383.262963;125.0;14;UNIT;7.8;26.9;7.8;2021-03-03;2022-01-26
510;10132;COCA COLA CL20X4 VAP;3;5;5;1;239.488372;155.0;25;UNIT;11.0;17.6;10.8;2021-03-03;2022-01-26
510;10133;PEPSI-COLA BARATTOLO CL33;3;5;14;1;295.162791;155.0;140;UNIT;5.8;14.5;5.8;2021-03-03;2022-01-26
510;10134;CHINO' S/PELLEGRINO LAT.CL33£;3;5;6;1;378.251163;155.0;60;UNIT;5.5;14.5;5.5;2021-03-03;2022-01-26
510;10135;FANTA ORANGE SLEEK LAT.CL33X4£;3;6;5;1;267.146237;180.0;25;UNIT;11.6;14.6;11.6;2021-03-03;2022-01-26
510;10136;SPRITE SLEEK LAT.CL33X4;3;6;3;1;325.221505;180.0;15;UNIT;11.6;14.6;11.6;2021-03-03;2022-01-26
510;10137;COCA COLA ENERGY ZERO CL.25;3;6;1;1;360.066667;180.0;11;UNIT;5.3;13.4;5.3;2021-03-03;2022-01-26
510;10138;COCA COLA ENERGY CL25;3;6;1;1;365.38172;180.0;11;UNIT;5.3;13.4;5.3;2021-03-03;2022-01-26
510;10139;BURN ORIGINAL SLIM 250ML;3;6;3;1;370.696774;180.0;33;UNIT;5.4;13.5;5.4;2021-03-03;2022-01-26
510;10140;FANTA LT.1,5 PET£;4;1;6;4;411.07;13.0;72;CASE;19.0;32.0;28.0;2021-03-03;2022-01-26
510;10141;CHINOTTO NERI CL20X6 VAP;4;2;2;1;412.060465;155.0;10;UNIT;17.0;16.5;11.5;2021-03-03;2022-01-26
510;10142;CHINO' CL20X4 S.PELLEGRINO£;4;2;2;1;446.330233;155.0;10;UNIT;11.6;18.5;11.6;2021-03-03;2022-01-26
