date_stamp;sku;on_promotion
2022-01-01;10149;0
2022-01-01;10110;0
2022-01-01;10193;0
2022-01-01;10145;0
2022-01-01;10182;0
2022-01-01;10112;0
2022-01-01;10166;0
2022-01-01;10210;0
2022-01-01;10217;0
2022-01-01;10194;0
2022-01-01;10172;0
2022-01-01;10191;0
2022-01-01;10126;0
2022-01-01;10167;0
2022-01-01;10156;0
2022-01-01;10196;0
2022-01-01;10179;0
2022-01-01;10181;0
2022-01-01;10180;0
2022-01-01;10215;0
2022-01-01;10141;0
2022-01-01;10148;0
2022-01-01;10129;0
2022-01-01;10192;0
2022-01-01;10195;0
2022-01-01;10128;0
2022-01-01;10157;0
2022-01-01;10161;0
2022-01-01;10144;0
2022-01-01;10143;0
2022-01-01;10123;0
2022-01-01;10130;0
2022-01-01;10199;0
2022-01-01;10200;0
2022-01-01;10162;0
2022-01-01;10153;0
2022-01-01;10154;0
2022-01-01;10125;0
2022-01-01;10134;0
2022-01-01;10208;0
2022-01-01;10203;0
2022-01-01;10207;0
2022-01-01;10204;0
2022-01-01;10214;0
2022-01-01;10127;0
2022-01-01;10139;0
2022-01-01;10205;0
2022-01-01;10188;0
2022-01-01;10114;0
2022-01-01;10160;0
2022-01-01;10101;0
2022-01-01;10102;0
2022-01-01;10106;0
2022-01-01;10113;0
2022-01-01;10206;0
2022-01-01;10147;0
2022-01-01;10159;0
2022-01-01;10111;0
2022-01-01;10183;0
2022-01-01;10135;0
2022-01-01;10117;0
2022-01-01;10136;0
2022-01-01;10118;0
2022-01-01;10104;0
2022-01-01;10105;0
2022-01-01;10168;0
2022-01-01;10146;0
2022-01-01;10152;0
2022-01-01;10186;0
2022-01-01;10185;0
2022-01-01;10184;0
2022-01-01;10142;0
2022-01-01;10173;0
2022-01-01;10189;0
2022-01-01;10122;0
2022-01-01;10138;0
2022-01-01;10137;0
2022-01-01;10132;0
2022-01-01;10158;0
2022-01-01;10131;0
2022-01-01;10198;0
2022-01-01;10197;0
2022-01-01;10155;0
2022-01-01;10176;0
2022-01-01;10201;0
2022-01-01;10202;0
2022-01-01;10116;0
2022-01-01;10115;0
2022-01-01;10187;0
2022-01-01;10103;0
2022-01-01;10165;0
2022-01-01;10174;0
2022-01-01;10220;0
2022-01-01;10221;0
2022-01-01;10218;0
2022-01-01;10219;0
2022-01-01;10211;0
2022-01-01;10209;0
2022-01-01;10213;0
2022-01-01;10163;0
2022-01-01;10164;0
2022-01-01;10100;0
2022-01-01;10108;0
2022-01-01;10107;0
2022-01-01;10140;0
2022-01-01;10170;0
2022-01-01;10119;0
2022-01-01;10169;0
2022-01-01;10121;0
2022-01-01;10190;0
2022-01-01;10151;0
2022-01-01;10133;0
2022-01-01;10120;0
2022-01-01;10109;0
2022-01-01;10178;0
2022-01-01;10212;0
2022-01-01;10175;0
2022-01-01;10216;0
2022-01-01;10124;0
2022-01-01;10177;0
2022-01-01;10150;0
2022-01-01;10171;0
2022-01-02;10149;0
2022-01-02;10110;0
2022-01-02;10193;0
2022-01-02;10145;0
2022-01-02;10182;0
2022-01-02;10112;0
2022-01-02;10166;0
2022-01-02;10210;0
2022-01-02;10217;0
2022-01-02;10194;0
2022-01-02;10172;0
2022-01-02;10191;0
2022-01-02;10126;1
2022-01-02;10167;0
2022-01-02;10156;0
2022-01-02;10196;0
2022-01-02;10179;0
2022-01-02;10181;0
2022-01-02;10180;0
2022-01-02;10215;0
2022-01-02;10141;0
2022-01-02;10148;0
2022-01-02;10129;0
2022-01-02;10192;0
2022-01-02;10195;0
2022-01-02;10128;0
2022-01-02;10157;0
2022-01-02;10161;0
2022-01-02;10144;0
2022-01-02;10143;0
2022-01-02;10123;0
2022-01-02;10130;0
2022-01-02;10199;0
2022-01-02;10200;0
2022-01-02;10162;0
2022-01-02;10153;0
2022-01-02;10154;0
2022-01-02;10125;0
2022-01-02;10134;0
2022-01-02;10208;0
2022-01-02;10203;0
2022-01-02;10207;0
2022-01-02;10204;0
2022-01-02;10214;0
2022-01-02;10127;1
2022-01-02;10139;0
2022-01-02;10205;0
2022-01-02;10188;0
2022-01-02;10114;0
2022-01-02;10160;0
2022-01-02;10101;0
2022-01-02;10102;0
2022-01-02;10106;0
2022-01-02;10113;0
2022-01-02;10206;0
2022-01-02;10147;0
2022-01-02;10159;0
2022-01-02;10111;0
2022-01-02;10183;0
2022-01-02;10135;0
2022-01-02;10117;0
2022-01-02;10136;0
2022-01-02;10118;0
2022-01-02;10104;0
2022-01-02;10105;0
2022-01-02;10168;0
2022-01-02;10146;0
2022-01-02;10152;0
