date_stamp;sku;quantity_sold
2022-01-02;10149;1.0
2022-01-02;10110;12.0
2022-01-02;10193;2.0
2022-01-02;10145;2.0
2022-01-02;10112;5.0
2022-01-02;10166;5.0
2022-01-02;10217;1.0
2022-01-02;10194;2.0
2022-01-02;10172;3.0
2022-01-02;10191;3.0
2022-01-02;10126;32.0
2022-01-02;10167;3.0
2022-01-02;10156;3.0
2022-01-02;10196;1.0
2022-01-02;10179;1.0
2022-01-02;10180;11.0
2022-01-02;10215;1.0
2022-01-02;10129;6.0
2022-01-02;10195;1.0
2022-01-02;10128;3.0
2022-01-02;10157;9.0
2022-01-02;10161;1.0
2022-01-02;10144;2.0
2022-01-02;10123;2.0
2022-01-02;10130;3.0
2022-01-02;10199;4.0
2022-01-02;10200;2.0
2022-01-02;10153;1.0
2022-01-02;10154;2.0
2022-01-02;10125;1.0
2022-01-02;10134;5.0
2022-01-02;10208;2.0
2022-01-02;10203;3.0
2022-01-02;10207;1.0
2022-01-02;10127;12.0
2022-01-02;10139;2.0
2022-01-02;10188;3.0
2022-01-02;10160;4.0
2022-01-02;10101;9.0
2022-01-02;10102;8.0
2022-01-02;10106;23.0
2022-01-02;10113;19.0
2022-01-02;10111;1.0
2022-01-02;10135;1.0
2022-01-02;10117;24.0
2022-01-02;10118;4.0
2022-01-02;10104;3.0
2022-01-02;10168;3.0
2022-01-02;10173;5.0
2022-01-02;10189;28.0
2022-01-02;10122;1.0
2022-01-02;10132;4.0
2022-01-02;10131;2.0
2022-01-02;10198;2.0
2022-01-02;10176;1.0
2022-01-02;10116;3.0
2022-01-02;10115;4.0
2022-01-02;10103;2.0
2022-01-02;10220;2.0
2022-01-02;10218;2.0
2022-01-02;10219;4.0
2022-01-02;10211;32.0
2022-01-02;10100;67.0
2022-01-02;10108;1.0
2022-01-02;10107;11.0
2022-01-02;10140;26.0
2022-01-02;10170;1.0
2022-01-02;10119;37.0
2022-01-02;10169;1.0
2022-01-02;10121;1.0
2022-01-02;10190;1.0
2022-01-02;10151;8.0
2022-01-02;10133;13.0
2022-01-02;10120;10.0
2022-01-02;10109;7.0
2022-01-02;10178;2.0
2022-01-02;10212;15.0
2022-01-02;10175;1.0
2022-01-02;10124;4.0
2022-01-02;10177;2.0
2022-01-02;10150;9.0
2022-01-02;10171;1.0
2022-01-03;10149;6.0
2022-01-03;10110;10.0
2022-01-03;10145;3.0
2022-01-03;10112;4.0
2022-01-03;10217;9.0
2022-01-03;10191;6.0
2022-01-03;10126;111.0
2022-01-03;10167;3.0
2022-01-03;10156;2.0
2022-01-03;10179;1.0
2022-01-03;10129;5.0
2022-01-03;10192;2.0
2022-01-03;10157;1.0
2022-01-03;10161;1.0
2022-01-03;10144;3.0
2022-01-03;10143;2.0
2022-01-03;10125;1.0
2022-01-03;10134;6.0
2022-01-03;10204;1.0
2022-01-03;10127;18.0
2022-01-03;10139;10.0
2022-01-03;10188;5.0
2022-01-03;10160;4.0
2022-01-03;10101;2.0
2022-01-03;10102;13.0
2022-01-03;10106;14.0
2022-01-03;10113;10.0
2022-01-03;10206;1.0
2022-01-03;10135;1.0
2022-01-03;10117;3.0
2022-01-03;10118;1.0
2022-01-03;10104;3.0
2022-01-03;10168;5.0
2022-01-03;10142;1.0
2022-01-03;10173;5.0
2022-01-03;10189;40.0
2022-01-03;10122;2.0
2022-01-03;10132;4.0
2022-01-03;10116;1.0
2022-01-03;10103;2.0
2022-01-03;10165;2.0
2022-01-03;10220;9.0
2022-01-03;10218;2.0
2022-01-03;10219;2.0
2022-01-03;10211;10.0
2022-01-03;10213;4.0
2022-01-03;10100;23.0
2022-01-03;10108;4.0
2022-01-03;10107;3.0
2022-01-03;10140;27.0
2022-01-03;10170;15.0
2022-01-03;10119;14.0
2022-01-03;10121;10.0
2022-01-03;10190;45.0
2022-01-03;10151;75.0
2022-01-03;10133;6.0
2022-01-03;10120;9.0
2022-01-03;10109;5.0
2022-01-03;10178;3.0
2022-01-03;10212;12.0
2022-01-03;10175;5.0
2022-01-03;10216;1.0
2022-01-03;10124;3.0
2022-01-03;10177;3.0
2022-01-03;10150;7.0
2022-01-04;10110;14.0
2022-01-04;10182;1.0
2022-01-04;10112;6.0
2022-01-04;10210;2.0
2022-01-04;10217;6.0
2022-01-04;10172;2.0
2022-01-04;10191;6.0
2022-01-04;10126;85.0
2022-01-04;10167;22.0
2022-01-04;10156;5.0
2022-01-04;10196;2.0
2022-01-04;10180;2.0
2022-01-04;10129;6.0
2022-01-04;10157;3.0
2022-01-04;10161;1.0
2022-01-04;10144;6.0
2022-01-04;10143;3.0
2022-01-04;10123;3.0
2022-01-04;10130;1.0
2022-01-04;10162;3.0
2022-01-04;10153;3.0
2022-01-04;10125;1.0
2022-01-04;10134;3.0
2022-01-04;10214;3.0
2022-01-04;10127;25.0
2022-01-04;10188;1.0
2022-01-04;10160;3.0
2022-01-04;10101;2.0
2022-01-04;10102;15.0
2022-01-04;10106;28.0
2022-01-04;10113;10.0
2022-01-04;10111;3.0
2022-01-04;10135;4.0
2022-01-04;10117;9.0
2022-01-04;10136;1.0
2022-01-04;10118;2.0
2022-01-04;10104;6.0
2022-01-04;10105;1.0
2022-01-04;10168;2.0
2022-01-04;10152;1.0
2022-01-04;10173;2.0
2022-01-04;10189;30.0
2022-01-04;10122;5.0
2022-01-04;10132;2.0
2022-01-04;10155;1.0
2022-01-04;10116;2.0
2022-01-04;10103;1.0
2022-01-04;10220;4.0
2022-01-04;10218;1.0
2022-01-04;10211;7.0
2022-01-04;10209;2.0
2022-01-04;10213;10.0
2022-01-04;10100;22.0
2022-01-04;10108;12.0
2022-01-04;10107;9.0
2022-01-04;10140;30.0
2022-01-04;10170;1.0
2022-01-04;10119;25.0
2022-01-04;10121;2.0
2022-01-04;10190;10.0
2022-01-04;10151;53.0
2022-01-04;10133;7.0
2022-01-04;10120;5.0
2022-01-04;10109;12.0
2022-01-04;10212;12.0
2022-01-04;10175;25.0
2022-01-04;10124;2.0
2022-01-04;10177;3.0
2022-01-04;10150;8.0
2022-01-05;10149;2.0
2022-01-05;10110;12.0
2022-01-05;10145;1.0
2022-01-05;10182;2.0
2022-01-05;10112;3.0
2022-01-05;10166;1.0
2022-01-05;10210;1.0
2022-01-05;10194;1.0
2022-01-05;10172;3.0
2022-01-05;10191;26.0
2022-01-05;10126;156.0
2022-01-05;10167;3.0
2022-01-05;10156;4.0
2022-01-05;10196;1.0
2022-01-05;10180;1.0
2022-01-05;10129;4.0
2022-01-05;10128;2.0
2022-01-05;10157;6.0
2022-01-05;10144;2.0
2022-01-05;10143;2.0
2022-01-05;10123;1.0
2022-01-05;10162;5.0
2022-01-05;10154;1.0
2022-01-05;10125;2.0
2022-01-05;10208;1.0
2022-01-05;10204;1.0
2022-01-05;10214;2.0
2022-01-05;10127;19.0
2022-01-05;10188;5.0
2022-01-05;10160;2.0
2022-01-05;10101;16.0
2022-01-05;10102;5.0
2022-01-05;10106;58.0
2022-01-05;10113;14.0
2022-01-05;10111;3.0
2022-01-05;10135;4.0
2022-01-05;10117;14.0
2022-01-05;10136;1.0
2022-01-05;10118;4.0
2022-01-05;10104;4.0
2022-01-05;10168;2.0
2022-01-05;10142;1.0
2022-01-05;10173;6.0
2022-01-05;10189;38.0
2022-01-05;10122;4.0
2022-01-05;10132;2.0
2022-01-05;10198;2.0
2022-01-05;10197;1.0
2022-01-05;10155;3.0
2022-01-05;10202;5.0
2022-01-05;10116;1.0
2022-01-05;10103;8.0
2022-01-05;10165;3.0
2022-01-05;10174;4.0
2022-01-05;10220;4.0
2022-01-05;10211;43.0
2022-01-05;10164;2.0
2022-01-05;10100;23.0
2022-01-05;10108;5.0
2022-01-05;10107;11.0
2022-01-05;10140;22.0
2022-01-05;10170;5.0
2022-01-05;10119;30.0
2022-01-05;10121;11.0
2022-01-05;10190;33.0
2022-01-05;10151;82.0
2022-01-05;10133;27.0
2022-01-05;10120;9.0
2022-01-05;10109;1.0
2022-01-05;10212;8.0
2022-01-05;10175;22.0
2022-01-05;10124;5.0
2022-01-05;10177;2.0
2022-01-05;10150;6.0
2022-01-05;10171;2.0
2022-01-06;10110;10.0
2022-01-06;10145;3.0
2022-01-06;10112;2.0
2022-01-06;10166;1.0
2022-01-06;10172;1.0
2022-01-06;10191;1.0
2022-01-06;10126;46.0
2022-01-06;10167;3.0
2022-01-06;10156;5.0
2022-01-06;10179;2.0
2022-01-06;10180;6.0
2022-01-06;10129;6.0
2022-01-06;10157;6.0
2022-01-06;10144;6.0
2022-01-06;10123;3.0
2022-01-06;10199;1.0
2022-01-06;10154;2.0
2022-01-06;10125;1.0
2022-01-06;10203;1.0
2022-01-06;10127;9.0
2022-01-06;10188;5.0
2022-01-06;10102;3.0
2022-01-06;10106;20.0
2022-01-06;10113;1.0
2022-01-06;10135;1.0
2022-01-06;10117;3.0
2022-01-06;10136;2.0
